
Command,Description
-h | -help,Lists the descriptions of the most commonly used
-mcg,Enables the mixed code generation model in VCS backend. Part of code is aggressively optimized by the available C compilers.
-v <file_name>,"Specifies a Verilog library file. VCS looks in this file for definitions of the module and UDP instances that VCS found in your source code, but for which it did not find the corresponding module or UDP definitions in your source code."
-y <directory>,Specifies a Verilog library directory.
+libext,the file name extension of the files you want VCS to look for in these directories.
+libext+extension+,"Specifies that VCS searches only for files with the specified file name extensions in a library directory. You can specify more than one extension, separating the extensions with the plus (+) character. | Specifies that VCS searches only for files with the specified file name extensions in a library directory."
+liborder,"Specifies searching for module definitions for unresolved module instances through the remainder of the library where VCS finds the instance, then searching the next and then the next library on the vcs command line before searching in the first library on the command line. | unresolved module instances through the remainder of the library where vlogan finds the instance, then searching the subsequent library on the vlogan command line before searching in the first library in the command line. Analysis Options"
+librescan,Specifies always searching libraries for module definitions for unresolved module instances beginning with the first library on the vcs command line. | definitions of unresolved module instances beginning with the first library in the vlogan command line.
+libverbose,"Tells VCS to display a message when it finds a module definition in a source file in a Verilog library directory that resolves a module instantiation statement that VCS read in your source files, a library file, or in another file in a library directory. The message is as follows:"
-Mdirectory=<directory> | -Mlib=<dir>,"Specifies the incremental compile directory. The default name for this directory is csrc, and its default location is your current directory. You can substitute the shorter -Mdir for -Mdirectory. -Mdir-Mdir [-]"
-Mupdate[=0],"Specifies the default condition, incremental compilation and updating the makefile."
-Mmakep=make_path,Specifies the make path.
-noincrcomp,Disables incremental compilation.
-diskopt,Saves disk space by compressing various files under the simv.daidir directory.
-sverilog,"Enables SystemVerilog constructs specified in the IEEE Standard of SystemVerilog, IEEE Std 1800-2009. | VCS enables compiling Verilog or SystemVerilog code. | Enables the analysis of SystemVerilog source code."
-tbrca,other debug options to enable optimal debug capabilities for TBRCA.
-ignore keyword_argument,Suppresses warning messages depending on which keyword argument is specified.
-error=UNIQUE,VCS reports unique violations as error conditions.
-error=PRIORITY,VCS reports priority violations as error conditions.
"-error=UNIQUE,PRIORITY",VCS reports unique and priority violations as error conditions.
-assert keyword_argument,time. | the -assert maxfail and -assert finish_maxfail options used at compile time.
-assert async_disable,"Converts disabled signal to its sampled value. Use at the same time, and you have to use the sample value of the disable signal. Therefore, if you have an assertion assert property (@(posedge clk) disable iff(rst) a) and if you apply the -assert assert property (@(posedge clk) disable iff($sampled(rst)) a)."
-assert enable_diag,Enables further control of results reporting with enabled only if you compile the design with this | The runtime assert options are enabled only if you compile the • -assert success • -assert summary • -assert maxcover=N • -assert maxsuccess=N
-assert funchier,Enables enhanced reporting for assertions in functions. | Enables the new function naming convention. –ova_enable_case               Enable compilation of OVA case pragmas.
-assert hier=file_name,You can use the -assert hier=file_name enabling and disabling SystemVerilog assertions.
-assert enable_hier,"hier=file.txt[-] hier=file.txtassert -assert hier=file.txt, which allows turning assertions on or off. | -assert hier=file.txtassert hier=file.txt[-] hier=file.txt, which allows turning assertions on or off. The following list of assertion options enabled when -assert • -assert hier • -assert maxfail=N • -assert finish_maxfail=N"
-assert filter_past,"For assertions that are defined with the $past system $pastignoring task, ignore these assertions when the past history buffer is empty. For instance, at the very beginning of the simulation, the past history buffer is empty. Therefore, the first sampling point and subsequent sampling points should be ignored until the past buffer has been filled with respect to the sampling point."
-assert offending_values,Enables the reporting of the values of all variables used in the assertion failure messages. | You can use the -assert offending_values compile-time the assertion failure messages.
-assert disable,"Disables all SystemVerilog assertions in the design. | To disable all SVAs in the design, use the -assert disable"
-assert disable_cover,"When you include the -cm assert compile-time and assert[-] assert-cm -cm statements in the assertion coverage reports. This keyword prevents cover statements from appearing in these reports. | To disable assertion coverage, use the -assert disable_cover coverage, and write an assertion coverage database during simulation."
-assert disable_assert,Disables only the assert and assume directives without affecting the cover directives. It complements the existing control options which allows you to disable only cover directives or all of the assertions such as assert/assume/cover. | Disables the property checks (assert and assume directives) and retains assertion coverage (cover directives).
-assert disable_rep_opt,"Specifying a delay or a repetition value greater than 200 in the assertion expression affects both compile-time and runtime performance. Therefore, VCS optimizes expression and issues a warning message as follows: Warning-[SVA-LDRF] Large delay or repetition found. Large delay or repetition found (data ##[0:200] (!data)). VCS will optimize compile time. However it may affect runtime. ""test.v"", 8"
-assert dumpoff,Disables the dumping of SVA information in the VPD file during simulation. | Disables the dumping of SVA information in the VPD file
-assert vpiSeqBeginTime,Enables you to see the simulation time that a SystemVerilog assertion sequence starts when using Debussy.
-assert vpiSeqFail,Enables you to see the simulation time that a SystemVerilog assertion sequence doesn’t match when using Debussy.
+lint=PWLNT:<max_count>,"Enables the PWLNT lint messages when $past is used in the code with the number of clock ticks exceeding 5. You can restrict the number of PWLNT lint messages for a particular compilation using the max_count argument. –ova_enable_case               Enables the compilation of OVA case pragmas only, when used without -Xova or -ova_inline. All inlined –Xova-Xova[-] –ova_inline-ova_inline OVA assertion pragmas are ignored."
-ntb_define macro,Specifies any OpenVera macro name on the command line. You can specify multiple macro names using the plus (+) character. | Specifies any OpenVera macro name on the command line.
-ntb_filext .ext,Specifies an OpenVera file name extension. You can specify multiple file name extensions using the plus (+) character. | Specifies an OpenVera file name extension.
-ntb_incdir <directory_path>,Specifies the include directory path for OpenVera files. You can specify multiple include directories using the plus (+) character.
